Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.5,1845401023,36024,51227.0,42860.0,1563,153277,50197.6,cudaLaunchKernel
17.9,405178204,145,2794332.4,4237.0,1753,69896103,12958710.2,cudaMemcpy
0.2,5528243,302,18305.4,1668.0,90,145341,30031.4,cudaFree
0.2,4109431,230,17867.1,3672.0,942,237443,29439.8,cudaMalloc
0.1,1908375,36024,53.0,50.0,40,1142,11.0,cuKernelGetName
0.0,1085533,92,11799.3,2320.0,1703,737607,76699.6,cudaMemset
0.0,959761,72,13330.0,3712.0,2575,386862,47459.4,cudaMemcpyToSymbol
0.0,69228,12,5769.0,5580.0,4569,8957,1179.7,cudaEventRecord
0.0,32392,24,1349.7,321.0,210,11972,2480.4,cudaEventCreate
0.0,7093,1,7093.0,7093.0,7093,7093,0.0,cudaDeviceSynchronize
0.0,1322,1,1322.0,1322.0,1322,1322,0.0,cuModuleGetLoadingMode
0.0,551,1,551.0,551.0,551,551,0.0,cuLibraryGetKernel
